exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
SL,184.0,0.3341795870944926,-1.0104639688825292,-1.0,0.30776222843090084,-0.007484918288001976,-1.0,-1.0,-1.0,LONG
SL,110.0,0.061007196422885525,-1.0353280098823983,-1.0,-0.36963183715037967,-1.0,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,0.9706004183276988,-0.23285765672097677,0.6688579559641998,0.22259246999777518,0.35901139881923577,0.5980821948726753,0.293908504074743,0.6688579559641998,LONG
TP,177.0,2.0165692975647813,-0.24090838158342673,1.9999999999999765,0.7621842762165671,1.625612376589932,1.9999999999999765,1.9999999999999765,1.9999999999999765,SHORT
SL,93.0,0.3817591030018169,-1.0068114048429402,-1.0,-0.5452583909677743,-1.0,-1.0,-1.0,-1.0,SHORT
TIMEOUT,720.0,1.7192189846613777,-0.4120304749212774,-0.36962168739154155,0.8099246873326177,0.7458957336112522,0.595386115123349,0.33344948626322246,-0.36962168739154155,SHORT
SL,435.0,0.9738924570034764,-1.0699656318160047,-1.0,0.036411294563640596,-0.3202439160416943,-0.4373742250596841,-1.0,-1.0,SHORT
SL,180.0,0.2293959632336474,-1.0594731664002728,-1.0,-0.30750924381753975,-0.3604087439597688,-1.0,-1.0,-1.0,SHORT
SL,88.0,0.12841326780962636,-1.0308873889897316,-1.0,-0.3944487230327957,-1.0,-1.0,-1.0,-1.0,SHORT
SL,291.0,0.30498239296417456,-1.060427285881168,-1.0,0.1498620379220537,-0.029797130347067196,-0.32557746835111423,-1.0,-1.0,SHORT
SL,101.0,0.30820915328148335,-1.0016797481648068,-1.0,-0.5387446288206579,-1.0,-1.0,-1.0,-1.0,SHORT
SL,125.0,0.9005631802330398,-1.0551374574372605,-1.0,-0.08736806972411995,-0.6274615916549423,-1.0,-1.0,-1.0,SHORT
SL,100.0,0.43374554292659573,-1.0406695888644515,-1.0,-0.34049557976672384,-1.0,-1.0,-1.0,-1.0,SHORT
TP,160.0,2.4833847914932234,-0.5220463829563352,2.0,-0.4076020895004762,0.40985714947004803,2.0,2.0,2.0,SHORT
TP,86.0,2.2318623353760003,-0.5596205125663198,2.0,0.15683632199310815,2.0,2.0,2.0,2.0,SHORT
SL,151.0,0.04208756611113199,-1.0012164338213765,-1.0,-0.6285076539261768,-0.6420692030064273,-1.0,-1.0,-1.0,SHORT
TP,238.0,2.297525706449174,-0.26815084499269043,2.0,0.042857802439422825,0.11930685543950639,2.0,2.0,2.0,SHORT
TP,193.0,2.197854603945739,-0.2403081250922411,2.0,0.10465974304503393,0.367770828912443,2.0,2.0,2.0,SHORT
SL,206.0,0.5774920342417165,-1.0123421511528068,-1.0,-0.09901841834122942,-0.011771420362246699,-1.0,-1.0,-1.0,SHORT
SL,168.0,0.1614416367379246,-1.00600821570571,-1.0,-0.4256188604908563,-0.4409624871229738,-1.0,-1.0,-1.0,SHORT
SL,211.0,0.6989538000016535,-1.1787799469785878,-1.0,0.004227543145183437,0.1416226953632366,-1.0,-1.0,-1.0,LONG
SL,87.0,0.3455674525725993,-1.5117169016449237,-1.0,-0.3269946090304154,-1.0,-1.0,-1.0,-1.0,LONG
TP,135.0,2.0634951910210013,-0.4117928924750544,2.000000000000023,-0.08507701568249873,0.6413498105295742,2.000000000000023,2.000000000000023,2.000000000000023,LONG
TP,72.0,2.072802833282806,-0.21394323568037818,1.9999999999999762,0.6871169613092131,1.9999999999999762,1.9999999999999762,1.9999999999999762,1.9999999999999762,LONG
SL,125.0,0.29654300331845446,-1.0008326361998074,-1.0,-0.040816312254507756,-0.29404404542532364,-1.0,-1.0,-1.0,LONG
SL,50.0,0.21179514124300367,-1.016281823988187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,434.0,1.1029787728021527,-1.2292667211029715,-1.0,0.2780255591869604,0.1719052680292408,0.120525760545632,-1.0,-1.0,SHORT
TP,526.0,2.1358049444196174,-0.11582071275576514,2.0,0.028844238808912168,0.3192835357386134,0.7235466365834599,1.2906687473186063,2.0,LONG
TP,264.0,2.0258232991207943,-0.14062382056846967,2.0,0.4942840793267779,0.6094522698099136,1.6041989794550542,2.0,2.0,LONG
